Text,Label
jhatu lalbahadur marle indira gandhi kashasathi marle mahiti gachpantondachya,1
and bhaktanna modi faydyat asnarya navratna kampanya vikat aslelya disat nahi maharashtraat matra satat bhuktat gajkarn jhalelya kutrya sarkhe,1
mathya tyanchyakadun kahich shikla bhavpurna shraddhanjali,1
hindunche sarkar navhe landyanche sarkar landya senene balasahebanna hatvun dakhavle,1
radu nako tujha malak courtat nehmi tonda padto karan saglech bindok bharle,1
sod bullya daru sod lavda suttichya divshi mhanun tula tujha roomvar thambu nahi,1
tuji ghaal aaighaalya,1
barobar karto nahi roj lagto,1
rice bag convert chidambaram inx mediayachya madhla aaropi janmach bindok mhanun ghetla ahes nantar jhalas,1
ayyo april mahinyaat divas astat bagha didshahane april mhane,1
lokanna shala sanskar astat hech nahi tich gund vruttichi maarhan karnari loka samarthan kartat,1
chutiya tumcha sanjya muka ghenar nahi boltoaani favadyavar badabada hagtoaadhi swatachi layki bagha jhatya shala bharvnar sandeep deshpande tula bhadyavar thevlay,1
block karshil daha baapachi aulad tharshil lakshat thev,1
maharashtratil samasta patrakaranna lagu aslele satya teen teen mahine pagar nahi mhanun st karmachari sampavar chapri sutlyacha anand,1
majordya staffchi bank,1
madar chaud mulalle,1
angaang moharun kasli dalbhadri bhasha vapartat,1
punyalya milnarya panavar tuzya kaarn dola makada,1
fundacha hishob vichar gulama,1
avdhoota randechya aaj ekadashichya divshi amhala shivya ghalayla lavat ahes tuzhi balantin jhali tevha hech vicharala janmala alo khatara hospital madhe baki bhavandana private hospital bhadkhau hech vicharala,1
jangi swagat honarach anyayachya virodhat bharatiya janata partycha pratyek karyakarta rastyavar utarnarach sath denarach chivsena jashas uttar milale,1
ervi pradhanmantri deshache astat ikade pradhanmantri gujaratcha mhatlyavar dusra honar tujha sarkhya laavaris avladi dattak ghetlelya ahetach,1
nakki baapachi madarchod gandit nahi tujha hijdyachi aulad,1
bhadya bhajpayinni chhatraptinchya apman bhajpa kattar hindutva mhun bomba martana nahi vatap khar baghayla gel bhajpayi sanghi raktat mughalanch rakt,1
zawadi,1
yz tula loka lokanch bhagtil aaplyala haan savay dusryachi chaddi phatli baghaychi shikaychi layki bhau jhatbhar,1
